!id,obj,cls,dev,iodst,host,port
crt,crt,mel,mel,udp:cart3:5000,ciax,25101
dsi,dsi,cj2,cj2,udp:cst-i:9600,cxws2,25102
dso,dso,cj2,cj2,udp:cst-o:9600,cxws2,25103
det,det,srm,srm,tcp:ltc-c:4001,ciax,25104
dts,dts,oss,oss,tcp:cxws2:9999,ciax,25105
#Compressor
cci,cci,bbe,bbe,tcp:ltc-i:4002,ciax,25105
cco,cco,bbe,bbe,tcp:ltc-o:4002,ciax,25106
cri,cri,bbe,bbe,tcp:ltc-i:4003,ciax,25107
cro,cro,bbe,bbe,tcp:ltc-o:4003,ciax,25108
#Telemetory
cf1,cf1,k3n,k3n,tcp:ltt-i:4003,ciax,45601
cf2,cf2,k3n,k3n,tcp:ltt-i:4001,ciax,45602
cf3,cf3,k3n,k3n,tcp:ltt-i:4002,ciax,45603
cf4,cf4,k3n,k3n,tcp:ltt-o:4001,ciax,45604
cf5,cf5,k3n,k3n,tcp:ltt-o:4002,ciax,45605
cf6,cf6,k3n,k3n,tcp:ltt-o:4003,ciax,45606
cf7,cf7,k3n,k3n,tcp:ltt-o:4004,ciax,45607
cf8,cf8,k3n,k3n,tcp:ltt-i:4014,ciax,45608
cf9,cf9,k3n,k3n,tcp:ltt-i:4011,ciax,45609
cfa,cfa,k3n,k3n,tcp:ltt-i:4015,ciax,45610
#MOIRCS
mfp,mfp,cfp,cfp,tcp:celaeno:4001,ciax,24101
map,map,oma,oma,tcp:celaeno:4002,ciax,24102
mma,mma,slo,slo,tcp:celaeno:4003,ciax,24103
mmc,mmc,slo,slo,tcp:celaeno:4004,ciax,24104
ml1,ml1,lk8,lk8,tcp:celaeno:4005,ciax,24105
ml2,mk2,lk8,lk8,tcp:celaeno:4006,ciax,24106
mix,mix,ixe,ixe,tcp:celaeno:4007,ciax,24107
mva,mva,var,var,tcp:celaeno:4008,ciax,24108
mt1,mt1,tpg,tpg,tcp:celaeno:4009,ciax,24109
mt2,mt2,tpg,tpg,tcp:celaeno:4010,ciax,24110
mt3,mt3,tpg,tpg,tcp:celaeno:4011,ciax,24111
mft,mft,fpa,fpa,tcp:celaeno:4012,ciax,24112
mh1,mh1,psp,psp,tcp:merope:59999,ciax,24201
mh2,mh2,psp,psp,tcp:atlas:59999,ciax,24202
